ClinicName,PayPeriod,Year,StipendCap,NegativeEarningsCap,NegativeEarningsUtilized
CO-RachelB,21,2025,0,0,0
KY-Traci,21,2025,0,0,0
NC-Samuel,21,2025,0,0,0
TX-Setareh,21,2025,0,0,0
a-kinder-approach-aba-ll,21,2025,0,0,0
a-merciful-approach-aba,21,2025,0,0,0
abaco,21,2025,27167.83368,18632.07623,0
affinity-abc,21,2025,16056.06798,7993.462551,257.25
al-kp,21,2025,12834.00464,5904.55778,1443.45
anmaba,21,2025,0,0,0
arrow,21,2025,1538.448683,666.2965019,0
aurora-behavior-health,21,2025,1190.255737,811.779766,158.5
behaveability,21,2025,4459.29896,2146.406249,0
behavior-in-context-llc,21,2025,0,0,0
behavioral-bridges-llc,21,2025,346.21426,58.40906,0
beyond-behavior,21,2025,5916.349521,3043.41398,426.15
bloom-behavior,21,2025,459.443455,105.8386,0
blossom-aba-therapy,21,2025,21207.85206,11292.73497,0
bridging-voices,21,2025,0,0,0
c4behaviorllc,21,2025,0,0,52.48
chockstone,21,2025,777.664985,17.4911194,0
cl-autism-center,21,2025,5193.518937,3410.771685,3.5
climb-and-thrive-aba-,21,2025,69.03344,0,0
co-wi,21,2025,9100.418184,4341.745684,0
committed-to-kids-aba,21,2025,31.910985,0,0
common-ground,21,2025,10063.55002,6295.514692,0
constellationspectrumaba,21,2025,0,0,0
cove-aba,21,2025,0,0,0
creative-edge-consulting,21,2025,0,0,0
creative-waves-aba,21,2025,813.0822293,311.8733733,22.5
crescent-behavioral,21,2025,3.049095,0,0
ct-arc-light,21,2025,2633.432685,893.1839601,1350.63
elemental-aba,21,2025,0,0,0
elevate-behavioral-healt,21,2025,0,0,0
empoweraba,21,2025,6121.909895,3824.47338,0
ep-behavioral-health,21,2025,0,0,0
exceptional-aba-therapie,21,2025,10696.44536,5672.979381,0
expansion-behavior-suppo,21,2025,0.75736,0,0
expeditions-aba,21,2025,770.5268839,502.4934743,0
faast-aba,21,2025,224.8515421,81.09048376,0
finni-northern-new-mexic,21,2025,2616.306267,759.8289333,0
fox--fern-behavioral-sol,21,2025,430.7397295,255.5686889,0
ga-ga,21,2025,12441.50341,7145.893576,0
goemaere-consulting-llc,21,2025,239.8015296,101.0385612,0
grow-with-purpose-aba,21,2025,0,0,0
guided-steps-autism-serv,21,2025,0,0,0
halona-aba,21,2025,654.7596879,314.7667427,0
healthyhorizons,21,2025,0,0,0
i-see-you,21,2025,0,0,0
il-brooke,21,2025,319.8670167,29.07041582,0
il-ha,21,2025,5798.129537,3063.235334,0
inclusive-health,21,2025,1497.771998,685.0406307,0
inspire-aba,21,2025,4174.115936,812.1939413,243.97
inspire-ky,21,2025,13086.96078,3045.77052,12882.93
jaybird-aba,21,2025,410.9620354,68.519328,0
joyful-holistic,21,2025,0,0,0
kapwa-behavior-services,21,2025,0,0,0
little-teddy-bears-aba-s,21,2025,18693.84031,8134.301387,0
luce-therapies,21,2025,0,0,0
lumen-behavioral-service,21,2025,0,0,0
main-line-aba-consultant,21,2025,0,0,0
measuring-milestones,21,2025,0,0,0
mi-lexie,21,2025,15264.9543,7787.768443,0
mosaic-aba,21,2025,0,0,0
neurorevolution,21,2025,304.1239466,0,237.12
nh-ally,21,2025,1903.025204,1083.095459,0
nlbc,21,2025,3066.997908,1519.592586,0
nm-lc,21,2025,131069.459,72050.80371,27500.8
ny-wc,21,2025,2733.943687,1170.834864,46562.05
oak-soul-aba,21,2025,0,0,0
odyssey-aba-llc,21,2025,3985.40299,2381.025742,0
ohio-kc-aba,21,2025,0,0,0
open-doors-aba,21,2025,9434.837767,4841.250329,0
open-roads-aba-,21,2025,0,0,0
parsimonybx,21,2025,0.53064,0,0
peak-behavior-solutions,21,2025,0,0,0
peak-era-aba-wellness-ll,21,2025,280.9048636,96.2157467,0
pivot-aba,21,2025,4963.313937,1827.049689,2528.12
pivotalpathways,21,2025,0,0,0
reachforthesky,21,2025,0,0,0
ri-spenser,21,2025,0,0,0
river-rock,21,2025,3966.052534,2439.308777,946.8
roadmap-aba-inc,21,2025,0,0,0
roots-aba-services,21,2025,6454.145439,3291.270907,0
santana-institute,21,2025,0,0,0
sense-sational,21,2025,4324.603932,1550.392807,0
sentinel-neurobx,21,2025,0,0,0
small-steps,21,2025,7314.046147,3110.061307,1220.66
sound-behavior-services,21,2025,0,0,0
spark-joy,21,2025,9076.335895,4058.484419,0
ssa-aba,21,2025,2051.055085,1166.378241,133.42
stephanie-bs-practice-ga,21,2025,1519.673712,786.2199631,0
tala-horizon-solutions,21,2025,0,0,0
teachdbb,21,2025,0,0,0
the-behavior-architects,21,2025,0,0,0
the-social-collective-th,21,2025,0,0,0
thrive-consulting,21,2025,223.8686952,93.76270429,0
tn-kb-bh,21,2025,13065.64886,4683.607193,0
va-elizabeth,21,2025,12820.21155,7764.31558,0
well-aba,21,2025,247.5115354,0,0
windwatch-behavioral-ser,21,2025,15.61858667,0,0
