final_clinic_key,clinicName,Display_Name,Group,Practice_DisplayName_Group,IsActivePractice,currentPayPeriod_Number,billedPPs_YTD,netRevenueSubTotal_YTD,rentLeaseStipend_YTD,staffTrainingCost_YTD,totalStaffCost_YTD,miscellaneous_YTD,hqErrorsStipend_YTD,poErrorsStipend_YTD,negativeEarnings_YTD,brexExpensesReimbursementMkt_YTD,coveredBenefits_YTD,salesMarketing_SubTotal_YTD,grossMargin_subTotal_YTD,totalPromotionalSpend_YTD,grossMarginBeforePromSpend_YTD,promotionalSpendExclHQErrNegErns_YTD,billedPPs_L6PP,netRevenueSubTotal_L6PP,grossMargin_subTotal_L6PP,totalPromotionalSpend_L6PP,grossMarginBeforePromSpend_L6PP,promotionalSpendExclHQErrNegErns_L6PP,chargeDollars_2PPLag,arboraCollections_2PPLag,grossMarginBeforeStipendPercent_YTD,grossMarginBeforeStipendPercent_L6PP,collectionsPercent_2PPLag,netRevenueFY,netRevenueAnnualizedL6PP,performanceMetricYTD,performanceMetricL6PP,stipendCapRateFY,stipendCapRateAnnual,StipendCapFY,StipendCapAnnualizedAdj,StipendCapAvgFinal,NegativeEarningsCap
CO-RachelB,CO-RachelB,[Unmapped],G1,CO-RachelB (G1),true,21,0,,,,,,,,,,,,-28.849999999999998,,-28.849999999999998,0.0,0,,-28.849999999999998,,-28.849999999999998,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY-Traci,KY-Traci,[Unmapped],G4,KY-Traci (G4),true,21,0,,,,,,,,,,,,-28.849999999999998,,-28.849999999999998,0.0,0,,-28.849999999999998,,-28.849999999999998,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC-Samuel,NC-Samuel,[Unmapped],G3,NC-Samuel (G3),true,21,0,,,,,,,,,,,,-13.98,,-13.98,0.0,0,,-13.98,,-13.98,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX-Setareh,TX-Setareh,[Unmapped],G2,TX-Setareh (G2),true,21,0,,,,,,,,,,,,-28.849999999999998,,-28.849999999999998,0.0,0,,-28.849999999999998,,-28.849999999999998,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a-kinder-approach-aba-ll,a-kinder-approach-aba-ll,A Kinder Approach ABA LLC,G3,A Kinder Approach ABA LLC (G3),true,21,0,,,,,,,,,,,,-508.47999999999996,,-508.47999999999996,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a-merciful-approach-aba,a-merciful-approach-aba,A Merciful Approach ABA Therapy,G4,A Merciful Approach ABA Therapy (G4),true,21,0,,,,,,,,,,,,-444.65999999999997,,-444.65999999999997,0.0,0,,-266.36,,-266.36,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abaco,abaco,ABA.CO,G1,ABA.CO (G1),true,21,21,370871.64,19500.0,,,-266.0,,,,,,19234.0,279624.63,19234.0,298858.62999999995,19234.0,6,171606.23,132274.12,4234.0,136508.12,4234.0,827843.2,835769.19000000006,80.5827671266533,79.547298486774039,100.9574264788308,459174.41142857145,743626.9966666667,88.732630867524293,88.111349683596742,4.536631543376215,4.5055674841798368,20831.051187980651,33504.616165396415,27167.833676688533,18632.076232063082
affinity-abc,affinity-abc,Affinity ABC,G1,Affinity ABC (G1),true,21,21,324506.05999999994,,,,-251.5,,,257.25,15.75,15985.410000000003,16006.910000000003,205171.25000000003,16006.910000000003,221178.15999999997,15749.660000000003,6,86413.9,54199.22,4572.51,58771.729999999996,4572.51,989424.68,986607.68,68.158406656565987,68.011893919843914,99.715289091030158,401769.40761904756,374460.23333333328,80.781159630351652,80.693251988318409,4.139057981517583,4.13466259941592,16629.4687333521,15482.667217318914,16056.067975335507,7993.4625506522534
al-kp,al-kp,Allied Pediatric Therapy,G4,Allied Pediatric Therapy (G4),true,21,21,272582.54999999993,,,,-66.100000000000009,110.0,,1443.45,,1660.25,3147.6000000000008,144435.78999999998,3147.6000000000008,147583.38999999998,1594.15,6,97648.86,54462.99,-66.100000000000009,54396.89,-66.100000000000009,793211.59999999986,644166.77999999991,54.142640458826151,55.706630881302658,81.209954569499487,337483.15714285703,423145.06,64.969566103095474,65.907960356581384,3.3484783051547735,3.395398017829069,11300.550300479959,14367.458979781622,12834.004640130792,5904.557779781625
anmaba,anmaba,A New Milestone ABA,G1,A New Milestone ABA (G1),true,21,0,,,,,,,,,,,,-479.62999999999994,,-479.62999999999994,0.0,0,,-301.33,,-301.33,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
